"idpessoa","descNome","numCNPJ"
635807,Zeca Loteiro 635807,1311501000000
1241269,Zeca Loteiro 1241269,6635361000133
1937411,Zeca Loteiro 1937411,10250363000102
884949,Zeca Loteiro 884949,22366330000132
529788,Zeca Loteiro 529788,16563061000136
828439,Zeca Loteiro 828439,3160006000112
3798601,Zeca Loteiro 3798601,22502651000113
487483,Zeca Loteiro 487483,
2472645,Zeca Loteiro 2472645,5115531000166
2132434,Zeca Loteiro 2132434,
778886,Zeca Loteiro 778886,1000000130
2830135,Zeca Loteiro 2830135,2160130000150
1804277,Zeca Loteiro 1804277,
777089,Zeca Loteiro 777089,63013322000111
4500244,Zeca Loteiro 4500244,3633052000136
1191931,Zeca Loteiro 1191931,22662313000111
2343341,Zeca Loteiro 2343341,22502651000113
1468093,Zeca Loteiro 1468093,
24942,Zeca Loteiro 24942,22565260000111
749031,Zeca Loteiro 749031,10101105000160
557626,Zeca Loteiro 557626,22036006000131
112845,Zeca Loteiro 112845,22565661000126
557514,Zeca Loteiro 557514,60630010000166
4102917,Zeca Loteiro 4102917,15123303000120
3372196,Zeca Loteiro 3372196,22512056000153
3223207,Zeca Loteiro 3223207,13663351000130
63241,Zeca Loteiro 63241,66606023000110
1195828,Zeca Loteiro 1195828,22666100000116
4122,Zeca Loteiro 4122,22511251000153
825425,Zeca Loteiro 825425,66106620000130
776497,Zeca Loteiro 776497,22213060000110
1237691,Zeca Loteiro 1237691,2551600000630
38015,Zeca Loteiro 38015,
401721,Zeca Loteiro 401721,
112845,Zeca Loteiro 112845,22565661000126
2795797,Zeca Loteiro 2795797,12515613000131
8228,Zeca Loteiro 8228,
62500,Zeca Loteiro 62500,66351005000106
1243323,Zeca Loteiro 1243323,300613000100
1240625,Zeca Loteiro 1240625,3666121000121
3797112,Zeca Loteiro 3797112,33626315015
749031,Zeca Loteiro 749031,10101105000160
3326735,Zeca Loteiro 3326735,10310610000131
2267029,Zeca Loteiro 2267029,6003030000110
1755176,Zeca Loteiro 1755176,3511030000166
718213,Zeca Loteiro 718213,1610660000061
2494463,Zeca Loteiro 2494463,16636601000166
4081574,Zeca Loteiro 4081574,22662313000111
1996273,Zeca Loteiro 1996273,61623006000133
750819,Zeca Loteiro 750819,2333032000121
1965015,Zeca Loteiro 1965015,2316126000131
3582449,Zeca Loteiro 3582449,311112000136
230098,Zeca Loteiro 230098,
595,Zeca Loteiro 595,
884532,Zeca Loteiro 884532,3220050000120
107365,Zeca Loteiro 107365,22536205000103
4099591,Zeca Loteiro 4099591,21033103000136
2108097,Zeca Loteiro 2108097,22662115000112
575717,Zeca Loteiro 575717,22662313000111
659565,Zeca Loteiro 659565,
213993,Zeca Loteiro 213993,20331111000100
636644,Zeca Loteiro 636644,256661015316
2445210,Zeca Loteiro 2445210,3535060000133
7536,Zeca Loteiro 7536,
723331,Zeca Loteiro 723331,6610261000060
421148,Zeca Loteiro 421148,10101105000160
793495,Zeca Loteiro 793495,56123633000010
17352,Zeca Loteiro 17352,16136331000115
1054629,Zeca Loteiro 1054629,
1846827,Zeca Loteiro 1846827,
877134,Zeca Loteiro 877134,3602100000163
424486,Zeca Loteiro 424486,63662610000110
4509707,Zeca Loteiro 4509707,11220052000135
124734,Zeca Loteiro 124734,
107469,Zeca Loteiro 107469,
778601,Zeca Loteiro 778601,6655523000132
671052,Zeca Loteiro 671052,22063011000100
1230889,Zeca Loteiro 1230889,22152026000103
526511,Zeca Loteiro 526511,
803098,Zeca Loteiro 803098,5663600000111
729,Zeca Loteiro 729,15252106
1194538,Zeca Loteiro 1194538,
476559,Zeca Loteiro 476559,
2046974,Zeca Loteiro 2046974,
774591,Zeca Loteiro 774591,10101105000160
1635587,Zeca Loteiro 1635587,
714699,Zeca Loteiro 714699,23133031000101
639192,Zeca Loteiro 639192,160652000063
2777668,Zeca Loteiro 2777668,11161661000126
379329,Zeca Loteiro 379329,22650360000160
1051389,Zeca Loteiro 1051389,6000115000150
3467,Zeca Loteiro 3467,
523949,Zeca Loteiro 523949,
793495,Zeca Loteiro 793495,56123633000010
66,Zeca Loteiro 66,61011000010
112845,Zeca Loteiro 112845,22565661000126
1528631,Zeca Loteiro 1528631,2160130000150
666638,Zeca Loteiro 666638,
2085115,Zeca Loteiro 2085115,15366635000103
108653,Zeca Loteiro 108653,60053610000116
2255681,Zeca Loteiro 2255681,10621011000160
2014517,Zeca Loteiro 2014517,16621230000111
112848,Zeca Loteiro 112848,
776141,Zeca Loteiro 776141,21110021000136
832069,Zeca Loteiro 832069,2551600000630
1747141,Zeca Loteiro 1747141,22663000000103
699019,Zeca Loteiro 699019,63066010000130
3230311,Zeca Loteiro 3230311,22502651000113
562844,Zeca Loteiro 562844,22060531000101
471103,Zeca Loteiro 471103,
1648207,Zeca Loteiro 1648207,
1939531,Zeca Loteiro 1939531,10513306000103
562844,Zeca Loteiro 562844,22060531000101
60751,Zeca Loteiro 60751,160531000011
3233026,Zeca Loteiro 3233026,22531316000135
85437,Zeca Loteiro 85437,66606023051151
626383,Zeca Loteiro 626383,10210000000
16184,Zeca Loteiro 16184,
723439,Zeca Loteiro 723439,1335062000123
2487405,Zeca Loteiro 2487405,2551600000101
245573,Zeca Loteiro 245573,
876562,Zeca Loteiro 876562,16135113000156
2075584,Zeca Loteiro 2075584,
1729051,Zeca Loteiro 1729051,320160000160
934968,Zeca Loteiro 934968,3631663000110
718213,Zeca Loteiro 718213,1610660000061
718213,Zeca Loteiro 718213,1610660000061
1713373,Zeca Loteiro 1713373,16115315000116
1354449,Zeca Loteiro 1354449,3633011000105
